Date,Open,High,Low,Close,Adj Close,Volume
,HOV,HOV,HOV,HOV,HOV,HOV
2015-01-02,104.5,106.75,101.25,105.5,105.5,126540
2015-01-05,105.25,106.5,102.0,102.25,102.25,86824
2015-01-06,103.0,104.0,96.25,96.5,96.5,178548
2015-01-07,97.5,101.25,97.5,99.25,99.25,118404
2015-01-08,101.25,103.0,99.75,99.75,99.75,86596
2015-01-09,100.0,102.75,99.25,99.5,99.5,102172
2015-01-12,100.0,104.0,99.25,102.0,102.0,106268
2015-01-13,103.5,105.0,97.0,98.25,98.25,237604
2015-01-14,96.75,99.75,93.75,95.0,95.0,174080
2015-01-15,95.75,95.75,85.0,85.5,85.5,220300
2015-01-16,85.5,90.5,83.75,90.0,90.0,131132
2015-01-20,88.5,88.75,83.25,83.75,83.75,178128
2015-01-21,83.75,86.5,81.25,83.0,83.0,117976
2015-01-22,84.75,86.0,83.0,85.25,85.25,79532
2015-01-23,85.5,86.0,83.0,84.0,84.0,63172
2015-01-26,85.25,87.5,84.0,87.0,87.0,73496
2015-01-27,86.25,87.5,84.5,86.75,86.75,85236
2015-01-28,87.5,87.75,84.0,84.0,84.0,83584
2015-01-29,84.5,86.25,83.5,85.75,85.75,88240
2015-01-30,84.75,86.25,84.0,86.0,86.0,75392
2015-02-02,86.5,86.75,84.25,84.25,84.25,105120
2015-02-03,84.25,86.25,83.5,85.5,85.5,133796
2015-02-04,85.5,88.75,85.0,87.5,87.5,121596
2015-02-05,87.25,89.5,86.25,87.75,87.75,65976
2015-02-06,87.75,90.0,87.75,89.75,89.75,58248
2015-02-09,89.5,92.75,89.5,91.75,91.75,68180
2015-02-10,92.75,93.5,89.0,92.0,92.0,85876
2015-02-11,92.5,92.75,88.75,90.5,90.5,70300
2015-02-12,89.75,92.75,89.75,92.75,92.75,77852
2015-02-13,92.75,94.25,91.5,92.75,92.75,54488
2015-02-17,92.0,93.0,91.25,92.75,92.75,52320
2015-02-18,92.5,92.75,90.5,91.5,91.5,47912
2015-02-19,91.75,92.75,90.5,92.0,92.0,35196
2015-02-20,92.25,92.25,90.5,91.25,91.25,47280
2015-02-23,90.5,91.0,87.75,90.0,90.0,58184
2015-02-24,91.25,93.0,90.25,92.5,92.5,63536
2015-02-25,92.5,93.25,90.75,91.5,91.5,39184
2015-02-26,91.75,92.75,90.5,92.25,92.25,46960
2015-02-27,92.5,94.0,92.0,93.5,93.5,58104
2015-03-02,93.25,97.25,93.0,96.75,96.75,102904
2015-03-03,96.25,96.75,94.25,94.75,94.75,61000
2015-03-04,94.75,94.75,92.5,92.75,92.75,58404
2015-03-05,92.5,93.25,91.75,92.0,92.0,42004
2015-03-06,91.25,92.75,90.25,90.25,90.25,65056
2015-03-09,91.25,91.25,88.25,88.25,88.25,73780
2015-03-10,87.25,88.25,86.0,86.5,86.5,98984
2015-03-11,86.75,87.0,83.25,85.0,85.0,161644
2015-03-12,83.75,89.0,83.5,87.0,87.0,108928
2015-03-13,86.25,86.75,83.5,84.5,84.5,91920
2015-03-16,84.75,85.75,83.25,83.75,83.75,99272
2015-03-17,83.25,83.75,80.25,81.75,81.75,119104
2015-03-18,81.5,85.75,80.25,85.5,85.5,109536
2015-03-19,85.25,86.75,82.75,84.25,84.25,59692
2015-03-20,85.25,88.25,84.75,87.25,87.25,124896
2015-03-23,86.5,89.0,86.25,86.5,86.5,68224
2015-03-24,87.0,91.0,85.75,87.75,87.75,132164
2015-03-25,88.25,90.5,87.5,89.0,89.0,66404
2015-03-26,88.25,90.0,87.25,88.5,88.5,55340
2015-03-27,88.75,89.75,87.75,89.0,89.0,48444
2015-03-30,90.5,92.5,90.0,91.0,91.0,90824
2015-03-31,91.0,92.0,88.75,89.0,89.0,79252
