"Issuer Name","Symbol","Reason","Status","Effective Date","Form 25 Date"
"ACV Auctions Inc.","ACVA",,"Suspended","3/24/2025",
"AI TRANSPORTATION ACQUISITION CORP","AITR","Regulatory/Non Compliance","Suspended","4/16/2025",
"AI TRANSPORTATION ACQUISITION CORP","AITRR","Regulatory/Non Compliance","Suspended","4/16/2025",
"AI TRANSPORTATION ACQUISITION CORP","AITRU","Regulatory/Non Compliance","Suspended","4/16/2025",
"Accelerate Diagnostics, Inc.","AXDX","Regulatory/Non Compliance","Suspended","5/15/2025",
"Advanced Health Intelligence Ltd.","AHI","Regulatory/Non Compliance","Suspended","7/30/2024",
"Aetherium Acquisition Corp.","GMFI","Regulatory/Non Compliance","Suspended","6/21/2024",
"Aetherium Acquisition Corp.","GMFIU","Regulatory/Non Compliance","Suspended","6/21/2024",
"Aetherium Acquisition Corp.","GMFIW","Regulatory/Non Compliance","Suspended","6/21/2024",
"Affimed N.V.","AFMD","Regulatory/Non Compliance","Suspended","5/20/2025",
"Aimfinity Investment Corp. I","AIMAU","Regulatory/Non Compliance","Suspended","5/5/2025",
"Aimfinity Investment Corp. I","AIMAW","Regulatory/Non Compliance","Suspended","5/5/2025",
"Aimfinity Investment Corp. I","AIMBU","Regulatory/Non Compliance","Suspended","5/5/2025",
"Akoya BioSciences, Inc.","AKYA","Acquisition/Merger","Suspended","7/9/2025","7/8/2025"
"Alternus Clean Energy, Inc.","ALCE","Regulatory/Non Compliance","Suspended","2/12/2025",
"AppTech Payments Corp.","APCX","Regulatory/Non Compliance","Suspended","5/20/2025",
"AppTech Payments Corp.","APCXW","Regulatory/Non Compliance","Suspended","5/20/2025",
"Aptose Biosciences, Inc.","APTO","Regulatory/Non Compliance","Suspended","4/2/2025",
"Aquaron Acquisition Corp.","AQU","Regulatory/Non Compliance","Suspended","3/7/2025",
"Aquaron Acquisition Corp.","AQUNR","Regulatory/Non Compliance","Suspended","3/7/2025",
"Aquaron Acquisition Corp.","AQUNU","Regulatory/Non Compliance","Suspended","3/7/2025",
"Atlas Corp.","ATCOL","Liquidation","Suspended","7/7/2025",
"Avenue Therapeutics, Inc.","ATXI","Regulatory/Non Compliance","Suspended","3/19/2025",
"Baijiayun Group Ltd","RTC","Regulatory/Non Compliance","Suspended","5/15/2025",
"Bannix Acquisition Corp.","BNIX","Regulatory/Non Compliance","Suspended","3/17/2025",
"Bannix Acquisition Corp.","BNIXR","Regulatory/Non Compliance","Suspended","3/17/2025",
"Bannix Acquisition Corp.","BNIXW","Regulatory/Non Compliance","Suspended","3/17/2025",
"Benson Hill, Inc.","BHIL","Regulatory/Non Compliance","Suspended","3/27/2025",
"Bio-Path Holdings, Inc.","BPTH","Regulatory/Non Compliance","Suspended","2/19/2025",
"Brooge Energy Limited ","BROG","Other","Suspended","6/20/2025",
"Cartesian Growth Corporation II","RENE","Regulatory/Non Compliance","Suspended","5/13/2025",
"Cartesian Growth Corporation II","RENEU","Regulatory/Non Compliance","Suspended","5/13/2025",
"Cartesian Growth Corporation II","RENEW","Regulatory/Non Compliance","Suspended","5/13/2025",
"Charles & Colvard Ltd.","CTHR","Regulatory/Non Compliance","Suspended","4/25/2025",
"China Liberal Education Holdings Limited","CLEU","Regulatory/Non Compliance","Suspended","6/3/2025",
"ClimateRock","CLRC","Regulatory/Non Compliance","Suspended","4/10/2025",
"ClimateRock","CLRCR","Regulatory/Non Compliance","Suspended","4/10/2025",
"ClimateRock","CLRCU","Regulatory/Non Compliance","Suspended","4/10/2025",
"ClimateRock","CLRCW","Regulatory/Non Compliance","Suspended","4/10/2025",
"ConnectM Technology Solutions, Inc.","CNTM","Regulatory/Non Compliance","Suspended","5/8/2025",
"Crown Electrokinetics Corp.","CRKN","Regulatory/Non Compliance","Suspended","3/5/2025",
"Cumulus Media Inc.","CMLS","Regulatory/Non Compliance","Suspended","5/2/2025",
"Cutera, Inc.","CUTR","Regulatory/Non Compliance","Suspended","3/13/2025",
"Damon Inc.","DMN","Regulatory/Non Compliance","Suspended","5/20/2025",
"Denali Capital Acquisition Corp.","DECA","Regulatory/Non Compliance","Suspended","4/16/2025",
"Denali Capital Acquisition Corp.","DECAU","Regulatory/Non Compliance","Suspended","4/16/2025",
"Denali Capital Acquisition Corp.","DECAW","Other","Suspended","4/16/2025",
"Digital Brands Group, Inc.","DBGI","Regulatory/Non Compliance","Suspended","12/18/2024",
"Digital Brands Group, Inc.","DBGIW","Regulatory/Non Compliance","Suspended","12/18/2024",
"Enstar Group Limited","ESGR","Acquisition/Merger","Suspended","7/3/2025",
"Enterprise Bancorp Inc","EBTC","Acquisition/Merger","Suspended","7/2/2025","7/1/2025"
"Etao International Co., Ltd.","ETAO","Regulatory/Non Compliance","Suspended","5/9/2024",
"Femto Technologies Inc.","FMTO","Regulatory/Non Compliance","Suspended","6/23/2025",
"Future Health ESG Corp.","FHLT","Regulatory/Non Compliance","Suspended","5/21/2024",
"Future Health ESG Corp.","FHLTU","Regulatory/Non Compliance","Suspended","5/21/2024",
"Future Health ESG Corp.","FHLTW","Regulatory/Non Compliance","Suspended","5/21/2024",
"FutureTech II Acquisition Corp.","FTII","Regulatory/Non Compliance","Suspended","2/26/2025",
