Date,Open,High,Low,Close,Adj Close,Volume
,PTPI,PTPI,PTPI,PTPI,PTPI,PTPI
2020-12-02,450.0,1247.5,450.0,997.5,997.5,289
2020-12-03,887.5,972.5,812.5,862.5,862.5,303
2020-12-04,850.0,886.25,810.0,827.5,827.5,175
2020-12-07,825.0,932.5,797.5,810.0,810.0,267
2020-12-08,827.5,856.0,802.5,817.5,817.5,116
2020-12-09,815.0,877.5,752.5,837.5,837.5,332
2020-12-10,837.5,900.0,837.5,877.75,877.75,97
2020-12-11,880.0,913.75,860.0,900.0,900.0,140
2020-12-14,920.0,930.25,850.0,865.0,865.0,76
2020-12-15,882.5,882.5,837.5,842.5,842.5,84
2020-12-16,837.5,950.0,837.5,927.5,927.5,191
2020-12-17,895.5,1084.5,895.5,950.0,950.0,1032
2020-12-18,967.5,1490.0,904.5,920.0,920.0,11604
2020-12-21,837.5,982.5,825.0,937.5,937.5,1134
2020-12-22,912.5,1047.5,890.25,918.75,918.75,1032
2020-12-23,917.5,985.0,905.75,937.5,937.5,540
2020-12-24,1080.0,1112.5,1025.0,1100.0,1100.0,1678
2020-12-28,1110.0,1222.5,1100.0,1170.0,1170.0,1183
2020-12-29,1152.5,1165.75,1070.0,1100.0,1100.0,551
2020-12-30,1107.5,1195.0,1037.5,1057.5,1057.5,604
2020-12-31,1045.0,1150.0,1025.0,1100.0,1100.0,1169
2021-01-04,1125.0,1125.0,1062.5,1095.0,1095.0,241
2021-01-05,1087.5,1125.0,1080.25,1115.0,1115.0,255
2021-01-06,1115.0,1135.0,1075.0,1100.0,1100.0,680
2021-01-07,1090.0,1150.0,1090.0,1150.0,1150.0,295
2021-01-08,1147.5,1185.0,1090.0,1122.5,1122.5,179
2021-01-11,1100.0,1115.0,1100.0,1110.0,1110.0,54
2021-01-12,1110.0,1122.5,1077.5,1115.0,1115.0,76
2021-01-13,1110.0,1170.0,1095.0,1135.0,1135.0,669
2021-01-14,1147.5,1147.5,1087.5,1102.5,1102.5,262
2021-01-15,1085.0,1112.5,1040.0,1050.0,1050.0,234
2021-01-19,1050.0,1087.5,1025.0,1041.5,1041.5,223
2021-01-20,1050.0,1067.5,1027.5,1032.5,1032.5,149
2021-01-21,1047.5,1051.0,1012.5,1015.0,1015.0,166
2021-01-22,1007.5,1035.0,937.5,937.5,937.5,401
2021-01-25,957.5,1002.5,940.0,1002.5,1002.5,167
2021-01-26,997.5,1035.0,987.5,987.5,987.5,54
