Date,Open,High,Low,Close,Adj Close,Volume
,WLFC,WLFC,WLFC,WLFC,WLFC,WLFC
2015-01-02,21.93000030517578,21.950000762939453,21.440000534057617,21.6200008392334,21.140798568725586,9200
2015-01-05,21.450000762939453,21.600000381469727,21.389999389648438,21.479999542236328,21.003902435302734,7000
2015-01-06,21.479999542236328,21.6200008392334,21.260000228881836,21.399999618530273,20.92567253112793,15000
2015-01-07,21.360000610351562,21.520000457763672,21.110000610351562,21.31999969482422,20.847450256347656,13100
2015-01-08,21.170000076293945,21.600000381469727,21.170000076293945,21.420000076293945,20.94523048400879,9200
2015-01-09,21.399999618530273,21.420000076293945,21.299999237060547,21.329999923706055,20.857227325439453,5300
2015-01-12,21.31999969482422,21.31999969482422,21.110000610351562,21.200000762939453,20.7301082611084,9400
2015-01-13,21.299999237060547,21.299999237060547,21.15999984741211,21.239999771118164,20.76922035217285,6400
2015-01-14,21.1299991607666,21.139999389648438,20.959999084472656,21.020000457763672,20.554096221923828,16300
2015-01-15,21.329999923706055,21.3799991607666,20.950000762939453,21.3799991607666,20.906116485595703,5500
2015-01-16,21.31999969482422,21.350000381469727,21.170000076293945,21.219999313354492,20.749664306640625,4100
2015-01-20,21.239999771118164,21.239999771118164,21.079999923706055,21.09000015258789,20.62254524230957,5700
2015-01-21,21.030000686645508,21.18000030517578,20.959999084472656,21.100000381469727,20.63232421875,7400
2015-01-22,21.149999618530273,21.219999313354492,21.0,21.219999313354492,20.749664306640625,7600
2015-01-23,21.149999618530273,21.329999923706055,20.950000762939453,21.040000915527344,20.573654174804688,10800
2015-01-26,21.170000076293945,21.40999984741211,21.0,21.209999084472656,20.739887237548828,5500
2015-01-27,21.270000457763672,21.40999984741211,21.049999237060547,21.100000381469727,20.63232421875,7800
2015-01-28,21.200000762939453,21.290000915527344,20.860000610351562,20.90999984741211,20.446535110473633,6600
2015-01-29,21.059999465942383,21.059999465942383,20.809999465942383,20.860000610351562,20.39764404296875,4700
2015-01-30,20.68000030517578,20.81999969482422,20.65999984741211,20.65999984741211,20.202075958251953,2800
2015-02-02,20.579999923706055,21.360000610351562,20.510000228881836,20.799999237060547,20.338972091674805,13900
2015-02-03,20.81999969482422,21.389999389648438,20.81999969482422,21.110000610351562,20.64210319519043,4700
2015-02-04,21.389999389648438,21.389999389648438,20.920000076293945,21.15999984741211,20.690994262695312,3200
2015-02-05,21.110000610351562,21.200000762939453,21.020000457763672,21.200000762939453,20.7301082611084,9500
2015-02-06,21.200000762939453,21.420000076293945,21.09000015258789,21.420000076293945,20.94523048400879,5700
2015-02-09,21.350000381469727,21.420000076293945,21.059999465942383,21.280000686645508,20.80833625793457,6600
2015-02-10,21.239999771118164,21.309999465942383,21.209999084472656,21.209999084472656,20.739887237548828,5300
2015-02-11,21.399999618530273,21.399999618530273,21.010000228881836,21.309999465942383,20.837669372558594,8100
2015-02-12,21.170000076293945,21.299999237060547,21.010000228881836,21.299999237060547,20.827890396118164,4900
2015-02-13,21.329999923706055,21.389999389648438,21.200000762939453,21.299999237060547,20.827890396118164,6800
2015-02-17,21.18000030517578,21.260000228881836,20.670000076293945,20.700000762939453,20.24118995666504,16800
2015-02-18,20.850000381469727,20.979999542236328,20.700000762939453,20.860000610351562,20.39764404296875,4100
2015-02-19,20.780000686645508,21.0,20.649999618530273,21.0,20.5345401763916,5800
2015-02-20,20.850000381469727,21.219999313354492,20.760000228881836,21.209999084472656,20.739887237548828,8100
2015-02-23,21.209999084472656,21.31999969482422,21.209999084472656,21.309999465942383,20.837669372558594,5400
2015-02-24,21.31999969482422,21.3700008392334,21.209999084472656,21.3700008392334,20.896339416503906,8800
2015-02-25,21.309999465942383,21.34000015258789,21.299999237060547,21.299999237060547,20.827890396118164,4000
2015-02-26,21.15999984741211,21.3799991607666,21.15999984741211,21.309999465942383,20.837669372558594,6300
2015-02-27,21.3700008392334,21.399999618530273,21.260000228881836,21.34000015258789,20.867006301879883,6700
2015-03-02,21.299999237060547,21.360000610351562,21.1299991607666,21.1299991607666,20.661657333374023,8900
2015-03-03,21.09000015258789,21.260000228881836,21.049999237060547,21.260000228881836,20.78877830505371,9900
2015-03-04,21.219999313354492,21.399999618530273,21.209999084472656,21.290000915527344,20.818113327026367,6200
2015-03-05,21.299999237060547,21.34000015258789,21.260000228881836,21.31999969482422,20.847450256347656,5700
2015-03-06,21.389999389648438,21.389999389648438,21.209999084472656,21.329999923706055,20.857227325439453,5500
2015-03-09,21.3700008392334,21.399999618530273,21.18000030517578,21.399999618530273,20.92567253112793,10300
2015-03-10,21.15999984741211,21.229999542236328,21.149999618530273,21.200000762939453,20.7301082611084,5200
2015-03-11,21.149999618530273,21.229999542236328,20.3700008392334,20.420000076293945,19.967397689819336,7000
2015-03-12,20.559999465942383,20.559999465942383,20.059999465942383,20.170000076293945,19.722936630249023,38000
2015-03-13,20.139999389648438,20.139999389648438,19.510000228881836,19.6200008392334,19.18512725830078,36900
2015-03-16,19.459999084472656,19.700000762939453,19.309999465942383,19.600000381469727,19.165573120117188,31600
2015-03-17,19.56999969482422,19.84000015258789,19.549999237060547,19.549999237060547,19.116680145263672,12800
2015-03-18,19.489999771118164,19.540000915527344,18.860000610351562,19.209999084472656,18.784212112426758,33200
2015-03-19,19.15999984741211,19.959999084472656,19.15999984741211,19.18000030517578,18.754880905151367,18400
2015-03-20,19.34000015258789,19.559999465942383,19.010000228881836,19.040000915527344,18.61798667907715,26500
2015-03-23,19.0,19.020000457763672,17.950000762939453,17.989999771118164,17.59125518798828,200200
2015-03-24,17.989999771118164,18.239999771118164,17.889999389648438,17.959999084472656,17.561920166015625,31100
2015-03-25,17.90999984741211,18.18000030517578,17.90999984741211,18.0,17.60103416442871,9100
2015-03-26,18.239999771118164,18.639999389648438,18.030000686645508,18.299999237060547,17.894384384155273,21600
2015-03-27,18.309999465942383,18.56999969482422,18.299999237060547,18.489999771118164,18.08017349243164,13300
2015-03-30,18.520000457763672,18.889999389648438,18.520000457763672,18.81999969482422,18.40285873413086,17600
2015-03-31,18.709999084472656,18.809999465942383,18.489999771118164,18.579999923706055,18.168180465698242,16000
2015-04-01,18.59000015258789,18.899999618530273,18.59000015258789,18.8799991607666,18.461528778076172,14300
2015-04-02,18.889999389648438,19.299999237060547,18.84000015258789,19.270000457763672,18.842885971069336,15200
2015-04-06,19.229999542236328,19.5,18.8799991607666,18.90999984741211,18.49086570739746,21300
2015-04-07,19.34000015258789,19.34000015258789,18.770000457763672,18.899999618530273,18.4810848236084,4200
2015-04-08,18.90999984741211,18.969999313354492,18.799999237060547,18.93000030517578,18.510421752929688,6500
2015-04-09,18.729999542236328,18.989999771118164,18.719999313354492,18.920000076293945,18.500642776489258,4200
2015-04-10,18.850000381469727,18.8700008392334,18.100000381469727,18.389999389648438,17.982389450073242,15300
2015-04-13,18.280000686645508,18.280000686645508,18.09000015258789,18.200000762939453,17.79660415649414,20900
2015-04-14,18.1299991607666,18.280000686645508,18.049999237060547,18.280000686645508,17.874828338623047,15400
2015-04-15,18.25,18.299999237060547,18.200000762939453,18.25,17.84549331665039,10800
2015-04-16,18.15999984741211,18.459999084472656,18.1200008392334,18.299999237060547,17.894384384155273,16500
2015-04-17,18.309999465942383,18.489999771118164,18.1200008392334,18.479999542236328,18.07039451599121,8900
2015-04-20,18.200000762939453,18.43000030517578,18.18000030517578,18.43000030517578,18.021503448486328,12900
2015-04-21,18.309999465942383,18.399999618530273,18.15999984741211,18.329999923706055,17.92371940612793,25100
2015-04-22,18.299999237060547,18.459999084472656,18.239999771118164,18.350000381469727,17.943279266357422,13100
2015-04-23,18.3799991607666,18.469999313354492,18.280000686645508,18.299999237060547,17.894384384155273,9000
2015-04-24,18.260000228881836,18.290000915527344,18.25,18.25,17.84549331665039,7100
2015-04-27,18.299999237060547,18.350000381469727,18.18000030517578,18.290000915527344,17.884607315063477,30500
2015-04-28,18.280000686645508,18.489999771118164,18.280000686645508,18.299999237060547,17.894384384155273,4400
2015-04-29,18.229999542236328,18.350000381469727,18.149999618530273,18.309999465942383,17.904163360595703,18600
2015-04-30,18.350000381469727,19.110000610351562,18.200000762939453,19.0,18.57887077331543,15100
2015-05-01,18.670000076293945,18.989999771118164,18.479999542236328,18.899999618530273,18.4810848236084,8700
2015-05-04,18.760000228881836,19.0,18.450000762939453,18.809999465942383,18.39307975769043,9200
2015-05-05,18.780000686645508,18.799999237060547,18.700000762939453,18.709999084472656,18.295297622680664,1800
2015-05-06,18.670000076293945,18.68000030517578,18.5,18.5,18.08995246887207,1900
